Zone,State,City,Name,Type,time needed to visit in hrs,Google review rating,Number of google review in lakhs,Entrance Fee in INR,Best Time to visit
Eastern,West Bengal,Kolkata,Tourist Spot 1,Lake,0.6,4.3,1.46,200,All
Southern,Telangana,Hyderabad,Tourist Spot 2,Museum,1.0,3.7,1.09,0,All
Southern,Karnataka,Bengaluru,Tourist Spot 3,Temple,1.1,3.8,2.53,20,All
Western,Gujarat,Ahmedabad,Tourist Spot 4,Temple,1.4,4.5,2.97,0,Evening
Western,Maharashtra,Pune,Tourist Spot 5,Fort,4.8,4.1,1.86,200,Morning
Southern,Telangana,Hyderabad,Tourist Spot 6,Temple,4.6,4.6,1.77,50,All
Southern,Karnataka,Bengaluru,Tourist Spot 7,Hill Station,4.2,4.5,1.24,200,Afternoon
Western,Gujarat,Ahmedabad,Tourist Spot 8,Temple,1.6,4.3,2.05,20,All
Southern,Kerala,Kochi,Tourist Spot 9,Lake,1.7,3.6,0.22,20,Evening
Western,Maharashtra,Pune,Tourist Spot 10,Fort,5.0,4.9,0.25,100,Evening
Western,Gujarat,Ahmedabad,Tourist Spot 11,Temple,3.6,4.1,1.62,200,Morning
Southern,Tamil Nadu,Chennai,Tourist Spot 12,Wildlife,2.5,3.9,0.69,0,Afternoon
Southern,Tamil Nadu,Chennai,Tourist Spot 13,Museum,4.8,4.4,2.32,100,Evening
Southern,Tamil Nadu,Chennai,Tourist Spot 14,Wildlife,4.3,3.7,0.9,50,Morning
Northern,Rajasthan,Jaipur,Tourist Spot 15,Park,1.3,4.5,0.78,50,All
Southern,Tamil Nadu,Chennai,Tourist Spot 16,Park,3.0,4.4,1.35,20,Morning
Western,Maharashtra,Pune,Tourist Spot 17,Park,3.6,4.7,1.3,50,Morning
Southern,Telangana,Hyderabad,Tourist Spot 18,Lake,1.8,4.3,1.17,0,Evening
Western,Maharashtra,Pune,Tourist Spot 19,Lake,2.4,4.2,0.77,100,Morning
Northern,Delhi,Delhi,Tourist Spot 20,Fort,2.2,4.1,0.37,20,All
Western,Maharashtra,Mumbai,Tourist Spot 21,Beach,4.1,3.6,2.17,0,Evening
